id,title,company_name,company_location,url,salary,salary_min,salary_max,avg_salary
39,Freelance Software Developer,seikor,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=830db7299c0159d1&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,53000 - 90000 ,53000 , 90000 ,71500.0
40,Python Developer,Infiniticube Services Pvt Ltd,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=84c0c493e417c331&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,15000 - 30000 ,15000 , 30000 ,22500.0
41,Senior Python Developer,Project 42 Labs,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=8f1cbe6581fc86c5&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3, 900000 , 900000 , 900000 ,900000.0
42,Junior Python Developer,Websodev,"Patna, Bihar",https://in.indeed.com/viewjob?&t=Python+Developer&jk=a5b9762a0e61d68f&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,13500 - 25000 ,13500 , 25000 ,19250.0
43,Global IT Security Engineer Manager,Boston Consulting Group,"New Delhi, Delhi",https://in.indeed.com/viewjob?&t=Python+Developer&jk=2badaa61af5a4aa8&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
44,Full Stack Engineer - Manager,Boston Consulting Group,"New Delhi, Delhi",https://in.indeed.com/viewjob?&t=Python+Developer&jk=3e31a3f714293e66&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
45,Python Developer,QuantGrade,"Remote in Noida, Uttar Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=866975dcfbad1b50&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3, 300000 , 300000 , 300000 ,300000.0
46,"Software Engineering Manager, Client Ops - X Delivery",Boston Consulting Group,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=e220ca12c34e8c7d&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
47,Junior Software Developer,REAK INFOTECH LLP,"Jabalpur, Madhya Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=4c49b900797b4851&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,350000 - 700000 ,350000 , 700000 ,525000.0
48,Python Developer,Numerator,Remote in India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=bf6f5fa6c554fb7d&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
49,Python Developer,Epsum Labs Pvt Ltd,"Bhubaneshwar, Orissa",https://in.indeed.com/viewjob?&t=Python+Developer&jk=733218d524faafef&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,33000 - 45000 ,33000 , 45000 ,39000.0
50,Python/Django Developer,Eminanz Technology,"Patna, Bihar",https://in.indeed.com/viewjob?&t=Python+Developer&jk=53aa684f2eaa49ac&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,15000 - 20000 ,15000 , 20000 ,17500.0
51,Python Developer Intern,XPayBack,"Kochi, Kerala",https://in.indeed.com/viewjob?&t=Python+Developer&jk=85320b383a48e6c1&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000 - 40000 ,12000 , 40000 ,26000.0
52,Project Manager,American Health Care Academy,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=98a88a029991d173&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,65000 - 90000 ,65000 , 90000 ,77500.0
53,Python Senior Developer,Infosys,"Indore, Madhya Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=c54d3f882074facf&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
54,Engineering Manager,Capital One,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=e3bd88d05cea4c1d&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
